# 2018-01-01 00:00 UTC
# km, s
# name,r,g,b,radius,mass,x,y,z,vx,vy,vz
Sun,    1.0,    0.8,    0.0,	6.955E+5,	1.988544E+30,	2.696822729957703E+05,	9.170988258285450E+05,	-1.798365568174730E+04,	-1.012660301849769E-02,	8.698067660594723E-03,	2.454613788441962E-04
Mercury,    1.0,    0.5,    0.0,	2440,	3.302E+23,	-5.773063859343297E+07,	-2.474809078820562E+05,	5.207789164126894E+06,	-9.166623618026254E+00,	-4.660136421755869E+01,	-2.968386625837031E+00
Venus,  1.0,    0.3,    0.0,	6051.8,	48.685E+23,	1.091042254713612E+07,	-1.073453106424018E+08,	-2.117095924141012E+06,	3.460663246193569E+01,	3.309048266175984E+00,	-1.952094136168143E+00
Earth,  0.0,    0.2,    1.0,	6371.01,	5.97219E+24,	-2.594286566500337E+07,	1.456625130721959E+08,	-2.366799613461643E+04,	-2.979334639785434E+01,	-5.411250346397358E+00,	-1.940846115162653E-04
Mars,   1.0,    0.0,    0.0,	3389.9,	6.4185E+23,	-2.366443833882647E+08,	-5.728070983468132E+07,	4.576782272909489E+06,	6.674780206364889E+00,	-2.145143348067530E+01,	-6.135080598596137E-01
Jupiter,    0.5,    0.3,    0.1,	69911,	1898.13E+24,	-6.372073092898788E+08,	-5.028276068515576E+08,	1.633825735300046E+07,	7.940979473911804E+00,	-9.635340686171540E+00,	-1.375780829202258E-01
Saturn, 0.7,    0.5,    0.2,	58232,	5.68319E+26,	7.165340481072909E+06,	-1.504508147585481E+09,	2.587354754541469E+07,	9.127574767433446E+00,	1.534481625360520E-02,	-3.637090257736995E-01
